species,population,plant_height_cm,corolla_area_mm2,spur_length_mm,first_flower_day,flowers,fruits,mean_fruit_mass_mg
densiflora,igelmossen,45,82.9587,15.38,189,52,47,8.1300000000000008
densiflora,ismantorp,35.1,160.524,15.43,186,34,30,9.9066666669999996
densiflora,ismantorp,25.4,146.3924,14.64,187,22,22,7.46
densiflora,ismantorp,30.2,137.193,14.26,183,30,30,10.10333333
densiflora,ismantorp,43.6,138.222,16.09,185,24,24,16.78
densiflora,ismantorp,31.6,110.0686,12.59,188,33,28,10.25333333
densiflora,ismantorp,31.6,103.0904,14.88,188,20,14,6.483333333
densiflora,ismantorp,25.8,124.6644,15.59,183,30,25,7.49
densiflora,ismantorp,33.2,95.4275,13.71,188,40,39,8.74
densiflora,ismantorp,25.9,123.088,14.94,182,32,19,5.233333333
densiflora,ismantorp,48.2,118.7032,14.88,188,48,48,10.926666669999999
densiflora,ismantorp,39.7,112.1796,16.46,187,55,55,10.463333329999999
densiflora,ismantorp,38.1,102.2186,14.05,187,45,36,7.15
densiflora,ismantorp,52.7,109.7712,13.42,185,64,61,13.8
densiflora,ismantorp,32.9,162.162,15.99,183,30,29,10.98
densiflora,ismantorp,44.3,133.0142,14.54,185,48,46,11.10333333
densiflora,ismantorp,38.5,120.7752,13.58,186,67,58,9.6733333330000004
densiflora,ismantorp,43.6,149.2092,16.35,182,59,59,15.143333330000001
densiflora,ismantorp,42.9,126.3444,13.72,186,38,38,10.446666670000001
densiflora,ismantorp,43.4,141.7734,16.39,185,58,58,15.036666670000001
densiflora,ismantorp,43.8,158.8771,16.06,186,44,41,16.013333329999998
densiflora,ismantorp,41.2,127.7312,13.6,188,55,53,10.21666667
densiflora,ismantorp,41.9,128.037,17.5,189,48,48,14.483333330000001
densiflora,ismantorp,47,145.8072,15.62,185,56,56,10.883333329999999
densiflora,ismantorp,33.9,124.925,15.39,188,42,42,12.52333333
densiflora,ismantorp,34,123.3424,14.59,186,53,53,12.96
densiflora,ismantorp,30.2,138.8986,16.2,188,33,32,11.2
densiflora,ismantorp,41.4,126.9316,13.35,183,55,53,10.65
densiflora,ismantorp,39.8,160.146,13.48,185,58,51,12.75333333
densiflora,ismantorp,28.9,100.9577,15.22,186,37,37,10.86
densiflora,ismantorp,35.6,113.7316,16.93,188,36,31,11.356666669999999
densiflora,ismantorp,34.2,120.9899,13.4,187,52,42,11.00666667
densiflora,ismantorp,30.5,95.3433,14.07,186,41,24,3.9666666670000001
densiflora,ismantorp,40.8,156.9672,15.62,182,58,56,14.516666669999999
densiflora,ismantorp,31,135.6917,16.25,186,43,39,11.22666667
densiflora,ismantorp,30.6,80.704,17.58,179,46,45,4.766666667
densiflora,ismantorp,36.4,103.704,16.63,181,48,48,6.8133333330000001
densiflora,ismantorp,37.4,108.0889,20.55,182,38,36,9.9266666669999992
densiflora,ismantorp,37.1,123.1302,18.06,188,45,43,11.83
densiflora,ismantorp,39.6,138.9609,12.99,189,64,60,10.48
densiflora,ismantorp,31.6,108.3663,14.49,187,43,41,9.8766666670000003
densiflora,ismantorp,21.2,100.5929,14.94,187,20,16,8.0106608779999995
densiflora,ismantorp,29,110.45,13.1,184,28,24,6.79
densiflora,ismantorp,25.6,112.3295,15.1,189,34,33,6.6433333330000002
densiflora,ismantorp,24.9,160.4043,14.52,184,23,22,9.18
densiflora,ismantorp,32.1,106.857,14.96,188,33,29,8.3766666670000003
densiflora,ismantorp,31.1,99.789,16.47,185,36,27,6.6966666669999997
densiflora,ismantorp,37.3,114.5907,13.76,186,61,45,8.6066666670000007
densiflora,ismantorp,28.9,111.161,15.74,184,53,51,7.8166666669999998
densiflora,ismantorp,19.1,100.0824,14.6,189,14,9,5.8366666670000003
densiflora,ismantorp,24.9,101.3405,12.74,187,46,37,5.1866666669999999
